Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Nick Richards;C;23;7.0;245;1517981.0;0.8;0.6;0.1
Terry Rozier;SG;27;6.1;190;17905263.0;20.4;4.4;4.2
Ish Smith;PG;33;6.0;175;4500000.0;6.7;3.4;3.9
JT Thor;PF;19;6.1;205;1250000.0;;;
Brad Wanamaker;PG;32;6.3;210;;5.5;1.7;2.9
P.J. Washington;PF;23;6.7;230;4215120.0;12.9;6.5;2.5
Bam Adebayo;C;24;6.9;255;28103500.0;18.7;9.0;5.4
Jimmy Butler;SF;31;6.7;230;36016200.0;21.5;6.9;7.1
Dewayne Dedmon;C;32;7.0;245;1669178.0;7.1;5.4;0.8
Marcus Garrett;G;22;6.5;195;;;;
Udonis Haslem;PF;41;6.8;235;1669178.0;4.0;1.0;0.0
Tyler Herro;PG;21;6.5;195;4004280.0;15.1;5.0;3.4
Kyle Lowry;PG;35;6.0;196;26894128.0;17.2;5.4;7.3
Markieff Morris;PF;32;6.9;245;1669178.0;6.7;4.4;1.2
RJ Nembhard;SG;22;6.5;200;;;;
KZ Okpala;SF;22;6.8;215;1782621.0;2.5;1.8;0.5
Victor Oladipo;SG;29;6.4;213;1669178.0;19.8;4.8;4.6
Duncan Robinson;SG;27;6.7;215;15650000.0;13.1;3.5;1.8
D.J. Stewart Jr.;G;22;6.6;205;;;;
Max Strus;SG;25;6.5;215;1669178.0;6.1;1.1;0.6
P.J. Tucker;PF;36;6.5;245;7000000.0;3.7;3.9;1.2
Gabe Vincent;PG;25;6.3;200;1669178.0;4.8;1.1;1.3
Omer Yurtseven;C;23;7.0;275;1489065.0;;;
Cole Anthony;PG;21;6.2;185;3449400.0;12.9;4.7;4.1
Mo Bamba;C;23;7.0;231;7568743.0;8.0;5.8;0.8
Ignas Brazdeikis;SF;22;6.6;221;;7.0;3.5;1.3
Wendell Carter Jr.;C;22;6.1;270;6920027.0;11.2;8.2;1.9
Michael Carter-Williams;PG;29;6.5;190;3300000.0;8.8;4.5;4.2
Jeff Dowtin;G;24;6.3;185;;;;
James Ennis III;SF;31;6.6;215;;8.4;4.0;1.5
Markelle Fultz;PG;23;6.3;209;16500000.0;12.9;3.1;5.4
Hassani Gravett;G;25;6.2;188;;;;
R.J. Hampton;PG;20;6.4;175;2303040.0;6.9;3.5;1.7
Gary Harris;SG;26;6.4;210;20482143.0;9.9;2.0;2.0
Jonathan Isaac;PF;23;6.11;230;17400000.0;;;
Robin Lopez;C;33;7.0;281;5000000.0;9.0;3.8;0.8
Chuma Okeke;PF;23;6.6;229;3277080.0;7.8;4.0;2.2
Chasson Randle;PG;28;6.2;185;;6.5;2.0;1.8
Terrence Ross;SG;30;6.6;206;12500000.0;15.6;3.4;2.3
Jalen Suggs;SG;20;6.4;205;6593040.0;;;
Jon Teske;C;24;7.1;265;;;;
Sindarius Thornwell;SG;26;6.4;215;;2.0;0.9;1.0
Franz Wagner;SF;20;6.9;220;5007840.0;;;
Moritz Wagner;C;24;6.11;245;1669178.0;6.9;3.2;1.1
Deni Avdija;SF;20;6.9;210;4692840.0;6.3;4.9;1.2
Bradley Beal;SG;28;6.3;207;33724200.0;31.3;4.7;4.4
Davis Bertans;SF;28;6.1;225;16000000.0;11.5;2.9;0.9
Thomas Bryant;C;24;6.1;248;8666667.0;14.3;6.1;1.5
Kentavious Caldwell-Pope;SG;28;6.5;204;13038862.0;9.7;2.7;1.9
Spencer Dinwiddie;PG;28;6.5;215;17142857.0;6.7;4.3;3.0
Daniel Gafford;C;22;6.1;234;1782621.0;7.0;4.3;0.5
Anthony Gill;PF;28;6.7;230;1517981.0;3.1;2.0;0.4
Rui Hachimura;PF;23;6.8;230;4916160.0;13.8;5.5;1.4
Montrezl Harrell;C;27;6.7;240;9720900.0;13.5;6.2;1.1
Aaron Holiday;PG;24;6.0;185;3980551.0;7.2;1.3;1.9
Caleb Homesley;SG;24;6.6;205;1517981.0;;;
Corey Kispert;SF;22;6.7;220;3383640.0;;;
Kyle Kuzma;SF;26;6.1;221;13000000.0;12.9;6.1;1.9
Garrison Mathews;SG;24;6.5;215;;5.5;1.4;0.4
Raul Neto;PG;29;6.1;180;1669178.0;8.7;2.4;2.3
Isaiah Todd;PF;19;6.1;210;1500000.0;;;
Cassius Winston;PG;23;6.1;185;;1.9;0.4;0.5
